age,gender,parent_education,family_income,degree_of_hearing_loss,age_of_onset,assistive_device,sign_language_proficiency,lip_reading_skill,attendance_rate,study_hours,previous_gpa,math_score,science_score,language_score,teacher_support,peer_support,learning_resources,motivation_level,stress_level,performance_class
18,0,3,4,1,2,0,4,3,85,5,8.58,41,66,58,1,1,2,5,2,C
19,0,2,2,1,5,0,3,2,73,2,6.85,92,58,78,3,3,3,2,1,B
17,0,0,1,1,2,0,4,4,75,2,7.12,57,48,62,4,2,4,3,4,B
17,0,1,4,1,1,1,4,2,69,2,7.82,65,98,75,5,2,1,4,5,B
18,0,3,2,1,3,0,1,1,90,3,9.75,92,90,81,5,5,4,5,1,C
16,1,1,4,2,4,0,1,3,90,5,5.54,81,88,71,5,2,4,3,3,A
17,0,3,1,1,9,0,2,2,95,1,5.16,70,52,84,1,3,1,5,1,A
16,1,3,2,1,8,1,3,2,69,2,8.04,77,41,43,5,1,3,4,1,A
20,1,3,2,2,2,1,1,1,85,5,9.75,95,75,69,2,1,5,1,5,C
18,1,0,2,2,2,1,3,5,79,1,9.95,61,68,90,3,1,4,1,5,B
21,0,0,4,1,5,1,3,3,68,3,7.42,75,50,81,4,3,3,1,2,B
16,1,0,4,1,4,1,5,2,74,4,7.34,58,73,78,3,5,5,4,1,C
20,0,3,1,1,5,0,3,3,68,1,8.22,53,43,44,2,3,4,2,1,C
16,1,3,3,3,6,1,5,5,66,1,7.78,53,43,42,2,2,3,4,5,C
16,0,1,2,3,2,1,2,2,85,1,8.17,89,91,61,3,4,4,4,3,A
17,1,2,2,1,4,0,2,1,83,4,9.37,68,40,67,1,4,3,3,5,C
15,0,0,1,2,7,0,2,3,71,2,8.73,56,64,61,2,4,2,1,3,B
19,1,3,2,1,3,0,5,1,79,4,7.48,89,65,61,5,1,2,5,5,A
16,1,1,4,2,9,1,5,5,73,1,7.31,89,50,73,4,3,1,2,4,B
16,1,1,4,2,1,0,2,5,81,3,8.2,76,62,68,4,3,5,5,1,B
