age,gender,parent_education,family_income,degree_of_hearing_loss,age_of_onset,assistive_device,sign_language_proficiency,lip_reading_skill,attendance_rate,study_hours,previous_gpa,math_score,science_score,language_score,teacher_support,peer_support,learning_resources,motivation_level,stress_level,performance_class
21,0,3,2,3,1,0,2,1,93,5,7.54,97,90,92,5,5,1,1,4,A
18,0,1,4,2,3,0,2,3,73,1,7.1,99,57,84,2,5,3,4,5,B
19,1,3,3,3,6,1,5,3,63,1,5.09,74,74,61,1,4,5,1,5,C
21,1,1,3,2,2,0,4,3,89,5,8.96,85,92,82,3,3,3,2,1,B
17,0,3,1,1,4,0,4,3,90,1,5.35,79,98,58,3,5,5,5,2,B
19,0,1,4,1,7,1,3,2,97,4,7.37,95,65,47,3,2,4,2,5,C
19,1,3,4,1,9,0,2,4,70,5,7.8,98,55,91,5,4,5,5,5,C
21,0,3,2,3,2,0,5,5,94,1,8.14,67,45,47,2,1,2,5,4,C
16,1,0,4,2,3,1,5,3,67,2,8.44,40,96,81,5,4,1,3,1,A
17,0,0,4,1,8,0,4,3,62,5,6.27,81,83,65,4,2,4,2,3,B
21,1,3,1,1,6,0,2,3,73,5,5.05,57,82,87,1,3,4,2,1,C
17,0,3,4,2,0,1,3,4,72,4,8.62,87,86,90,1,1,2,3,3,C
17,1,2,3,1,3,1,2,1,91,3,7.68,79,86,65,3,1,5,4,2,B
19,0,1,1,2,3,1,1,1,93,3,9.18,72,87,62,3,3,1,2,2,A
18,1,2,1,2,8,0,2,2,78,4,9.11,51,81,82,3,4,4,1,5,C
17,1,0,2,2,5,1,1,1,97,4,9.22,47,51,52,2,5,1,3,2,C
20,0,0,4,2,8,0,1,3,75,4,7.43,63,99,67,4,4,4,2,5,A
19,0,0,2,2,5,1,3,3,61,3,6.67,55,52,48,4,2,5,4,1,B
16,1,0,3,3,5,0,4,3,99,4,8.96,89,43,59,4,5,4,2,2,A
18,0,3,1,1,4,1,2,2,76,1,7.26,43,78,95,4,4,4,5,1,B
20,1,0,1,3,4,1,1,3,93,5,5.92,77,93,58,3,3,3,1,1,A
20,0,3,1,1,1,1,2,1,75,5,9.27,83,41,87,1,2,5,3,2,B
16,1,3,3,3,7,1,4,4,97,2,9.41,66,65,78,3,2,2,5,1,B
18,1,0,3,2,7,0,4,4,61,2,7.33,48,98,90,4,2,2,4,2,B
19,1,0,2,1,0,1,5,5,61,5,5.38,86,66,51,3,5,5,5,2,B
15,1,1,2,1,7,1,4,1,85,1,6.94,55,66,54,4,1,2,5,2,C
18,1,2,2,3,4,0,3,3,72,3,9.02,95,54,70,5,5,5,4,3,A
16,1,0,4,3,1,1,1,4,90,3,9.51,51,47,94,1,4,2,5,1,A
20,0,1,1,1,1,0,5,1,93,1,6.02,70,46,53,5,1,3,3,4,C
19,0,1,1,3,5,1,3,4,98,3,5.33,63,86,50,2,4,2,2,2,A
18,0,2,2,3,8,1,2,3,62,4,9.39,94,94,65,3,1,4,5,1,C
15,1,3,1,3,0,1,1,4,67,5,6.95,53,85,81,2,5,5,3,5,C
15,1,0,2,2,5,0,4,5,82,5,7.71,84,79,66,3,2,1,2,2,B
17,1,2,4,2,8,1,1,5,73,1,9.84,64,99,50,5,3,1,2,2,C
17,1,0,4,3,7,1,2,4,86,3,5.33,73,51,77,4,2,5,5,4,A
21,0,1,3,3,5,1,5,1,88,2,8.24,42,52,73,4,5,3,3,3,B
16,0,1,4,2,2,0,5,1,98,2,5.37,97,82,82,3,1,2,5,3,B
18,1,3,2,2,7,0,5,1,98,3,6.88,63,56,58,4,2,3,4,2,B
18,0,1,4,1,8,1,4,4,60,2,9.02,93,56,45,5,5,1,2,1,C
21,0,1,3,1,0,0,3,1,76,1,7.17,81,95,85,4,4,5,5,5,A
20,1,2,1,2,8,1,3,3,89,1,9.99,48,75,91,5,3,5,2,5,B
20,0,0,2,3,5,1,1,5,72,3,7.8,65,60,77,2,2,3,3,1,B
21,1,0,1,3,5,1,4,3,80,2,6.61,59,47,88,5,1,3,1,2,B
20,0,2,3,3,3,1,5,1,78,1,6.1,79,44,81,1,4,2,5,5,A
17,1,3,3,3,0,1,5,3,78,1,6.75,49,65,67,1,5,4,5,3,B
18,1,0,3,1,9,1,2,1,84,4,6.86,58,55,40,1,3,4,2,1,C
21,1,1,1,2,7,1,2,4,81,4,5.34,42,75,74,3,1,2,3,4,A
18,1,0,1,3,1,0,5,3,90,1,6.85,63,67,79,3,5,4,4,2,C
15,0,1,1,1,0,0,5,4,76,3,7.32,44,93,47,3,5,1,3,1,B
17,1,3,1,3,1,0,4,4,82,5,8.61,42,68,98,5,2,4,5,5,C
19,1,2,3,2,0,0,3,2,91,5,8.28,97,86,91,3,2,2,4,2,C
17,1,0,3,1,0,0,2,1,69,1,8.54,66,51,93,2,1,4,3,3,A
21,0,2,2,2,8,0,3,5,69,1,5.04,55,76,86,1,5,5,1,2,B
19,1,0,2,2,0,0,4,1,95,1,6.09,88,69,95,5,2,3,2,2,C
15,0,1,1,1,3,1,5,5,67,3,8.31,54,62,46,1,3,1,3,3,B
21,1,2,4,1,9,1,3,1,79,4,7.42,74,55,50,3,3,5,3,3,C
16,0,0,4,1,5,1,5,4,91,1,5.03,51,53,78,5,5,5,1,2,B
18,0,1,3,1,6,1,5,3,73,1,9.02,80,49,43,4,2,2,5,3,A
15,1,2,3,1,1,0,1,3,87,2,8.86,92,46,64,2,1,3,2,1,B
18,0,2,3,1,5,0,3,2,83,3,7.74,83,84,51,3,1,3,3,3,C
20,1,0,2,1,6,1,3,5,74,1,5.33,65,91,65,3,1,1,4,3,B
16,1,0,2,3,9,1,5,5,81,2,8.83,86,99,77,2,3,2,3,2,C
16,1,0,3,2,9,0,4,5,89,5,7.92,73,76,85,2,2,1,2,1,C
15,0,1,3,1,1,1,1,4,63,1,8.91,62,68,51,4,2,4,3,4,B
16,0,0,3,3,1,1,5,5,72,1,8.76,70,42,82,3,3,5,1,4,A
19,1,2,4,3,9,1,2,3,82,2,9.02,89,54,90,3,1,1,3,5,C
16,1,2,2,3,6,1,2,4,67,3,7.59,59,75,92,1,1,5,3,3,B
18,0,0,4,2,0,0,1,1,77,1,5.7,51,86,76,5,5,2,4,3,C
